JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Data Engineer,https://www.linkedin.com/company/wheely,973903,Wheely,,42.0,"London, England, United Kingdom",Full-time,Entry level,"Technology, Information and Internet",Medical insurance,https://www.linkedin.com/jobs/view/4125125349/?trk=jobs_biz_prem_srch,2025-01-15 19:04:18+00:00
"Data Engineer - Python, Pyspark, EMR, AWS, SQL, CI/CD",https://www.linkedin.com/company/sainsburys,5015,Sainsbury's,,203.0,"London, England, United Kingdom",Full-time,Entry level,Retail,Paid paternity leave,https://www.linkedin.com/jobs/view/4121355339/?trk=jobs_biz_prem_srch,2025-01-16 13:00:56+00:00
Data Scientist/Machine Learning Engineer,https://www.linkedin.com/company/revoco,11031443,Revoco,,128.0,"London Area, United Kingdom",Full-time,Mid-Senior level,Industrial Machinery Manufacturing,,https://www.linkedin.com/jobs/view/4124984873/?trk=jobs_biz_prem_srch,2025-01-15 14:37:51+00:00
"Senior Data Engineer – Commodities Trading – £130,000 Salary + Bonus",https://www.linkedin.com/company/saragossa,9215489,Saragossa,,4.0,"Greater London, England, United Kingdom",Full-time,Mid-Senior level,"Software Development, Capital Markets, Oil and Gas",,https://www.linkedin.com/jobs/view/4125984093/?trk=jobs_biz_prem_srch,2025-01-16 16:18:29+00:00
Senior Data Engineer,https://www.linkedin.com/company/tlp,21912,TLP Consultancy Ltd,,42.0,"Epsom, England, United Kingdom",Full-time,Mid-Senior level,"Motor Vehicle Manufacturing, Manufacturing",,https://www.linkedin.com/jobs/view/4125911381/?trk=jobs_biz_prem_srch,2025-01-16 09:31:36+00:00
Data Engineer,https://www.linkedin.com/company/alois-solutions,13242175,ALOIS Solutions,,180.0,"London Area, United Kingdom",Contract,Mid-Senior level,"IT Services and IT Consulting, Software Development, IT System Data Services",,https://www.linkedin.com/jobs/view/4126163404/?trk=jobs_biz_prem_srch,2025-01-15 12:52:59+00:00
Senior Software Data Engineer,https://www.linkedin.com/company/mcgregor-boyall,23702,McGregor Boyall,,23.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Financial Services,,https://www.linkedin.com/jobs/view/4125835099/?trk=jobs_biz_prem_srch,2025-01-16 11:04:01+00:00
Senior Lead Data Platform Engineer (Streaming),https://www.linkedin.com/company/on-ag,2912258,On,,96.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Retail,,https://www.linkedin.com/jobs/view/4103226469/?trk=jobs_biz_prem_srch,2025-01-15 17:11:20+00:00
Lead Data Engineer - Azure,https://www.linkedin.com/company/thedatahead,54118471,DATAHEAD,,18.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Insurance, Financial Services",,https://www.linkedin.com/jobs/view/4125939444/?trk=jobs_biz_prem_srch,2025-01-16 13:15:22+00:00
Data Engineer,https://www.linkedin.com/company/dexters-estate-agents,9689284,Dexters,,50.0,"Hampton, England, United Kingdom",Full-time,Mid-Senior level,Real Estate,,https://www.linkedin.com/jobs/view/4124382741/?trk=jobs_biz_prem_srch,2025-01-15 18:45:28+00:00
Senior Data Engineer,https://www.linkedin.com/company/understanding-recruitment,246085,Understanding Recruitment,,22.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Data Infrastructure and Analytics, Software Development, Hospitals and Health Care",,https://www.linkedin.com/jobs/view/4125946041/?trk=jobs_biz_prem_srch,2025-01-16 14:03:37+00:00
Data Engineer (SC Cleared),https://www.linkedin.com/company/codeuntappedpartners,35507816,CodeVerse,,278.0,"London Area, United Kingdom",Full-time,,,,https://www.linkedin.com/jobs/view/4126134151/?trk=jobs_biz_prem_srch,2025-01-15 09:21:20+00:00
Data Engineer,https://www.linkedin.com/company/nbcuniversal-inc-,1828,NBCUniversal,,120.0,"Brentford, England, United Kingdom",Full-time,Associate,"Broadcast Media Production and Distribution, Entertainment Providers, Media Production",,https://www.linkedin.com/jobs/view/4123102752/?trk=jobs_biz_prem_srch,2025-01-14 21:18:38+00:00
Senior Data Engineer,https://www.linkedin.com/company/macmillan-cancer-support,25599,Macmillan Cancer Support,,47.0,"London Area, United Kingdom",Full-time,Mid-Senior level,Non-profit Organizations,,https://www.linkedin.com/jobs/view/4123849236/?trk=jobs_biz_prem_srch,2025-01-15 14:06:52+00:00
Arista Data Center Network Engineer,https://www.linkedin.com/company/the-chrysalis-programme,1179724,The Chrysalis Programme,,,"London, England, United Kingdom",Contract,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/4125224747/?trk=jobs_biz_prem_srch,2025-01-15 00:00:00+00:00
Data Engineer (SC Cleared or Clearable),https://www.linkedin.com/company/fynity-png,963360,Fynity,,29.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"IT Services and IT Consulting, IT System Data Services, Business Consulting and Services",,https://www.linkedin.com/jobs/view/4123155566/?trk=jobs_biz_prem_srch,2025-01-15 10:01:36+00:00
Data Engineer (GCP),https://www.linkedin.com/company/wave-talent,37197612,Wave Talent,,222.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Financial Services, Banking, Data Infrastructure and Analytics",,https://www.linkedin.com/jobs/view/4123121204/?trk=jobs_biz_prem_srch,2025-01-15 11:44:44+00:00
Senior Data Engineer,https://www.linkedin.com/company/ascent-,365732,Ascent,,11.0,"London Area, United Kingdom",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/4127552159/?trk=jobs_biz_prem_srch,2025-01-16 14:32:56+00:00
Level 5 Data Engineer Apprenticeship - Thales,https://www.linkedin.com/company/makers-academy,2921480,Makers,,38.0,"London Area, United Kingdom",Full-time,,,,https://www.linkedin.com/jobs/view/4126182712/?trk=jobs_biz_prem_srch,2025-01-15 13:34:11+00:00
DV Cleared Data Engineer,https://www.linkedin.com/company/abm-renovation,1041623,INOVERSE GROUPE,,,"London, England, United Kingdom",Contract,Entry level,Data Infrastructure and Analytics,,https://www.linkedin.com/jobs/view/4125229323/?trk=jobs_biz_prem_srch,2025-01-15 00:00:00+00:00
